№,Название ,безопасность,кредитки,дебетовые,премиальные,рубль ,доллар,евро,мультивалюта,кредит под залог недвижимости,кредит без залога,кредит под залог авто,рефинансирование,автокредит,депозиты,страхование,инвестиции,моб приложение,моб связь
1,Тинькофф банк,9,1,1,1,<5%,0.1%,0.1%,1,>7%,>9%,>8%,1,>10%,0,1,1,1,1
2,Сбербанк,10,1,1,1,<4%,0,0,0,0,>10%,0,1,0,1,1,1,1,1
3,ВТБ,10,1,1,1,<4%,<0.5%,0,0,0,>6%,0,1,>1%,0,1,1,1,1
4,Газпромбанк,9,1,1,1,<4%,<0.6%,0,0,>12%,>7%,0,1,>6%,1,1,1,1,0
5,Альфа0Банк,9,1,1,1,<5%,0.1%,0,0,0,>7%,0,1,>7%,1,0,1,1,0
6,Ак Барс Банк,7,1,1,1,<5%,0.1%,0,1,>11%,>9%,0,1,0,0,1,1,0,1
7,Банк Открытие,7,1,1,1,<4%,<0.3%,0,0,0,>6%,0,1,0,1,1,1,1,0
8,Совкомбанк,7,1,1,1,<5%,0,0,0,>18%,>10%,>17%,0,>1%,1,1,1,1,0
9,Росбанк,7,1,1,1,<5%,0.1%,0,0,0,>7%,0,1,>2%,0,1,1,1,0
10,Райффайзенбанк,8,1,1,1,<4%,0,0,0,>11%,>9%,0,1,>9%,0,1,0,1,0
11,Хоум Кредит Банк,6,1,1,0,<5%,0.10%,0.01%,0,0,>8%,0,1,>8%,0,1,1,1,0
12,Уралсиб,6,1,1,1,<5%,<0.4%,0,0,>12%,>8%,0,1,>10%,0,1,1,0,0
13,Банк ДОМ.РФ,5,1,1,1,<5%,<0.3%,0.01%,0,0,>8%,0,1,0,1,0,1,1,0
14,ЮниКредит Банк,7,1,1,1,<5%,<0.5%,0,0,0,>8%,0,0,>1%,0,0,0,1,0
15,СМП Банк,6,1,1,1,<5%,<0.6%,0,0,0,>15%,0,1,0,0,1,0,1,0
16,Восточный Банк,4,1,1,1,<5%,0.1%,0.01%,0,>9%,>9%,0,0,0,0,1,1,1,0
17,УБРиР,5,1,1,1,<5%,0,0,0,0,>7%,0,1,0,0,1,1,1,0
18,Русский Стандарт,5,1,1,1,<5%,0,0,0,0,>8%,0,0,0,0,1,0,1,0
19,Абсолют Банк,4,1,1,0,<5%,<0.3%,0,0,0,0,0,0,0,0,0,1,1,0
20,Почта Банк,6,1,1,0,<5%,0,0,0,0,0,0,0,0,0,0,0,0,0
