0,Название банка,открытие и обслуживание счета,экспресс кредит,овердрафт,размещение средств в интернет банке,зарплатный проект,депозиты,интернет приложение,безопасность
1,Сбербанк,1,1,1,0,1,1,1,10
2,ВТБ,1,1,1,0,1,1,1,10
3,Газпромбанк,1,1,0,1,1,1,1,9
4,Альфа-Банк,1,1,1,1,1,0,1,9
5,Райффайзенбанк,1,1,1,1,0,1,1,8
6,Росбанк,1,1,1,0,1,1,1,7
7,Банк Открытие,1,1,1,0,1,1,1,7
8,ЮниКредит Банк,1,1,1,0,1,1,0,7
9,Ак Барс Банк,1,1,1,0,1,1,0,7
10,СМП Банк,1,1,1,0,1,1,1,6
11,Совкомбанк,1,1,0,0,1,1,0,7
12,Уралсиб,1,1,1,0,1,1,0,6
13,Банк ДОМ.РФ,1,0,0,0,1,1,0,5
14,Тинькофф Банк,0,0,0,0,0,0,0,9
15,Хоум Кредит Банк,0,0,0,0,0,0,0,6
16,Почта Банк,0,0,0,0,0,0,0,6
17,Русский Стандарт,0,0,0,0,0,0,0,5
18,УБРиР,0,0,0,0,0,0,0,5
19,Абсолют Банк,0,0,0,0,0,0,0,4
20,Восточный Банк,0,0,0,0,0,0,0,4
